cod_estd;secuencial;tip_movi;tip_naci;anio_movi;mes_movi;dia_movi;sex_migr;nac_migr;subcont_nac;cont_nac;via_tran;mot_viam;pais_prod;subcont_prod;cont_prod;lug_prod;pais_res;subcont_res;cont_res;jef_migr;pro_jefm;can_jefm;cla_migr;ocu_migr;edad;pais_esc;lug_esc
ESI;1;Entrada;Extranjero;2017;Octubre;1;Hombre;Sin especificar;Sin especificar;Sin especificar;Vía Aérea;Turismo;Italia;Europa Meridional;Europa;Milán;Italia;Europa Meridional;Europa;Aeropuerto Internacional José Joaquín de Olmedo;Guayas;Guayaquil;No inmigrante T-3;Personal de apoyo administrativo no clasificado bajo otros epigrafes;36;Países Bajos;Amsterdam
ESI;2;Entrada;Extranjero;2017;Junio;8;Mujer;Zambia;África Oriental;África;Vía Aérea;Turismo;Estados Unidos de América;América del Septentrional;América;Miami Florida;Estados Unidos de América;América del Septentrional;América;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante T-3;Personal de apoyo administrativo no clasificado bajo otros epigrafes;45;Estados Unidos de América;Miami Florida
ESI;3;Entrada;Extranjero;2017;Mayo;28;Mujer;Zambia;África Oriental;África;Vía Aérea;Eventos;Zambia;África Oriental;África;Lusaka;Zambia;África Oriental;África;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante T-3;Directores generales y gerentes generales;37;Países Bajos;Amsterdam
ESI;4;Entrada;Extranjero;2017;Marzo;13;Mujer;Zambia;África Oriental;África;Vía Aérea;Turismo;Zambia;África Oriental;África;Luanshya;Zambia;África Oriental;África;Aeropuerto Internacional José Joaquín de Olmedo;Guayas;Guayaquil;No inmigrante T-3;Directores generales y gerentes generales;42;Países Bajos;Amsterdam
ESI;5;Entrada;Extranjero;2017;Julio;2;Mujer;Zambia;África Oriental;África;Vía Aérea;Turismo;Estados Unidos de América;América del Septentrional;América;Dallas Texas;Estados Unidos de América;América del Septentrional;América;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante T-3;Amas de casa;44;Estados Unidos de América;Dallas Texas
ESI;6;Entrada;Extranjero;2017;Mayo;12;Mujer;Zambia;África Oriental;África;Vía Aérea;Turismo;Estados Unidos de América;América del Septentrional;América;Los Ángeles California;Estados Unidos de América;América del Septentrional;América;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante T-3;Tecnicos en ciencias fisicas y en ingenieria no clasificados bajo otros epigrafes;54;Estados Unidos de América;Houston Texas
ESI;7;Entrada;Extranjero;2017;Febrero;6;Mujer;Zambia;África Oriental;África;Vía Aérea;Residencia;Estados Unidos de América;América del Septentrional;América;Dallas Texas;Ecuador;América del Sur;América;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;Inmigrantes 10-VI;Amas de casa;41;Estados Unidos de América;Dallas Texas
ESI;8;Entrada;Extranjero;2017;Diciembre;25;Mujer;Zambia;África Oriental;África;Vía Aérea;Turismo;Estados Unidos de América;América del Septentrional;América;Albuquerque New México;Estados Unidos de América;América del Septentrional;América;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante T-3;Personal de apoyo administrativo no clasificado bajo otros epigrafes;47;Panamá;Panamá City
ESI;9;Entrada;Extranjero;2017;Mayo;23;Mujer;Zambia;África Oriental;África;Vía Aérea;Eventos;Panamá;América Central;América;Panamá City;Zambia;África Oriental;África;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante T-3;Miembros del poder ejecutivo y de los gobiernos locales o seccionales;43;Panamá;Panamá City
ESI;10;Entrada;Extranjero;2017;Junio;26;Mujer;Zambia;África Oriental;África;Vía Aérea;Otros;Países Bajos;Europa Occidental;Europa;Amsterdam;Zambia;África Oriental;África;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante T-3;Profesionales de la ensenanza no clasificados bajo otros epigrafes;38;Países Bajos;Amsterdam
ESI;11;Entrada;Extranjero;2017;Julio;7;Hombre;Zambia;África Oriental;África;Vía Aérea;Turismo;Estados Unidos de América;América del Septentrional;América;Fort Lauderdale Florida;Estados Unidos de América;América del Septentrional;América;Aeropuerto Internacional Mariscal Sucre;Pichincha;Quito;No inmigrante T-3;Representantes comerciales;46;Estados Unidos de América;Fort Lauderdale Florida
