tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,subcont_nac,cont_nac,via_tran,mot_viam,pais_prod,subcont_prod,cont_prod,lug_prod,pais_res,subcont_res,cont_res,jef_migr,pro_jefm,can_jefm,cla_migr,ocu_migr,edad
Salida,Extranjero,2020,Enero,22,Hombre,El Salvador,América Central,América,Vía Aérea,Otros,Perú,América del Sur,América,Lima,El Salvador,América Central,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante 12-II,Personal de apoyo administrativo no clasificado bajo otros epigrafes,55
Salida,Extranjero,2020,Enero,3,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Convenio Chileno Ecuatoriano,Profesionales de la ensenanza no clasificados bajo otros epigrafes,72
Entrada,Extranjero,2020,Enero,5,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,Panamá,América Central,América,Panamá City,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Convenio Chileno Ecuatoriano,Secretarios (generales),69
Entrada,Extranjero,2020,Enero,5,Hombre,Chile,América del Sur,América,Vía Aérea,Turismo,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Convenio Chileno Ecuatoriano,Disenadores y decoradores de interior,45
Entrada,Extranjero,2020,Enero,7,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,Perú,América del Sur,América,Lima,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Convenio Chileno Ecuatoriano,Personal de apoyo administrativo no clasificado bajo otros epigrafes,48
Entrada,Extranjero,2020,Enero,9,Hombre,Chile,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Atlanta Georgia,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Convenio Chileno Ecuatoriano,Comerciantes de tiendas,52
Entrada,Extranjero,2020,Enero,12,Hombre,Chile,América del Sur,América,Vía Aérea,Residencia,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Convenio Chileno Ecuatoriano,Comerciantes de tiendas,40
Entrada,Extranjero,2020,Enero,13,Hombre,Chile,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Fort Lauderdale Florida,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Convenio Chileno Ecuatoriano,Jubilados y pensionistas,74
Salida,Extranjero,2020,Enero,16,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Eventos,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Convenio Chileno Ecuatoriano,Jubilados y pensionistas,64
Entrada,Extranjero,2020,Enero,17,Hombre,Chile,América del Sur,América,Vía Aérea,Residencia,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Convenio Chileno Ecuatoriano,Personal de apoyo administrativo no clasificado bajo otros epigrafes,53
Entrada,Extranjero,2020,Enero,29,Hombre,Chile,América del Sur,América,Vía Aérea,Residencia,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Convenio Chileno Ecuatoriano,Jubilados y pensionistas,80
Entrada,Extranjero,2020,Enero,2,Mujer,Austria,Europa Occidental,Europa,Vía Aérea,Residencia,Argentina,América del Sur,América,Buenos Aires,Austria,Europa Occidental,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-CIE,Profesionales de la ensenanza no clasificados bajo otros epigrafes,30
Entrada,Extranjero,2020,Enero,2,Hombre,Nueva Zelanda,Australia y Nueva Zelandia,Oceanía,Vía Aérea,Residencia,Nueva Zelanda,Australia y Nueva Zelandia,Oceanía,Auckland,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante RT-CIE,"Biologos, botanicos, zoologos y afines",49
Entrada,Extranjero,2020,Enero,3,Mujer,Austria,Europa Occidental,Europa,Vía Aérea,Residencia,Países Bajos,Europa Occidental,Europa,Amsterdam,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-CIE,Estudiantes,28
Entrada,Extranjero,2020,Enero,3,Mujer,España,Europa Meridional,Europa,Vía Aérea,Residencia,España,Europa Meridional,Europa,Madrid,España,Europa Meridional,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-CIE,"Filosofos, historiadores y especialistas en ciencias politicas",23
Entrada,Extranjero,2020,Enero,4,Mujer,Austria,Europa Occidental,Europa,Vía Aérea,Residencia,Suiza,Europa Occidental,Europa,Zurich,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-CIE,Personal de apoyo administrativo no clasificado bajo otros epigrafes,40
Entrada,Extranjero,2020,Enero,5,Mujer,Alemania,Europa Occidental,Europa,Vía Aérea,Turismo,México,América Central,América,Mexico City,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-CIE,Profesionales de la ensenanza no clasificados bajo otros epigrafes,49
Entrada,Extranjero,2020,Enero,4,Mujer,Austria,Europa Occidental,Europa,Vía Aérea,Negocios,Austria,Europa Occidental,Europa,Vienna,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-CIE,Profesionales de la ensenanza no clasificados bajo otros epigrafes,36
Entrada,Extranjero,2020,Enero,6,Hombre,Sri Lanka,Asia Meridional,Asia,Vía Aérea,Eventos,Colombia,América del Sur,América,Bogotá Dc,Colombia,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-CIE,Contables,37
Entrada,Extranjero,2020,Enero,8,Mujer,Chile,América del Sur,América,Vía Aérea,Residencia,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante RT-INV,Profesionales de la ensenanza no clasificados bajo otros epigrafes,55
Entrada,Extranjero,2020,Enero,10,Mujer,Alemania,Europa Occidental,Europa,Vía Aérea,Residencia,Perú,América del Sur,América,Lima,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-CIE,Profesionales de la ensenanza no clasificados bajo otros epigrafes,51
Salida,Extranjero,2020,Enero,16,Hombre,Sri Lanka,Asia Meridional,Asia,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Colombia,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-CIE,Contables,37
Salida,Extranjero,2020,Enero,17,Hombre,México,América Central,América,Vía Aérea,Residencia,México,América Central,América,Mexico City,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante RT-CIE,Ingenieros no clasificados bajo otros epigrafes,34
Entrada,Extranjero,2020,Enero,27,Mujer,Brasil,América del Sur,América,Vía Aérea,Estudios,Panamá,América Central,América,Panamá City,Brasil,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante RT-CIE,Personal de apoyo administrativo no clasificado bajo otros epigrafes,26
Entrada,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía Aérea,Turismo,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Estudiantes,18
Entrada,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía terrestre,Turismo,Colombia,América del Sur,América,Pasto,Ecuador,América del Sur,América,Centro Nacional de Atención Fronteriza Rumichaca,Carchi,Tulcán,Inmigrantes 10-VI,Sin especificar,28
Salida,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía terrestre,Residencia,Colombia,América del Sur,América,Pasto,Ecuador,América del Sur,América,Centro Nacional de Atención Fronteriza Rumichaca,Carchi,Tulcán,Inmigrantes 10-VI,Ingenieros no clasificados bajo otros epigrafes,37
Entrada,Extranjero,2020,Enero,1,Hombre,Colombia,América del Sur,América,Vía Aérea,Turismo,Colombia,América del Sur,América,Cali,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Menores de edad,10
Salida,Extranjero,2020,Enero,1,Hombre,Colombia,América del Sur,América,Vía terrestre,Residencia,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,53
Entrada,Extranjero,2020,Enero,1,Hombre,Perú,América del Sur,América,Vía terrestre,Otros,Perú,América del Sur,América,Piura,Ecuador,América del Sur,América,Unidad de Control Migratorio Frontera Terrestre Lalamor,Loja,Zapotillo,Inmigrantes 10-VI,Ingenieros no clasificados bajo otros epigrafes,35
Salida,Extranjero,2020,Enero,1,Mujer,Perú,América del Sur,América,Vía terrestre,Residencia,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Inmigrantes 10-VI,Comerciantes de tiendas,39
Entrada,Extranjero,2020,Enero,1,Mujer,Perú,América del Sur,América,Vía terrestre,Residencia,Perú,América del Sur,América,Piura,Ecuador,América del Sur,América,Unidad de Control Migratorio Frontera Terrestre Lalamor,Loja,Zapotillo,Inmigrantes 10-VI,Amas de casa,47
Entrada,Extranjero,2020,Enero,1,Mujer,Costa Rica,América Central,América,Vía terrestre,Residencia,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Inmigrantes 10-VI,Comerciantes de tiendas,33
Entrada,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Profesionales de la ensenanza no clasificados bajo otros epigrafes,38
Entrada,Extranjero,2020,Enero,1,Hombre,Perú,América del Sur,América,Vía terrestre,Residencia,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Inmigrantes 10-VI,Jubilados y pensionistas,72
Entrada,Extranjero,2020,Enero,1,Hombre,Perú,América del Sur,América,Vía terrestre,Residencia,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Inmigrantes 10-VI,Comerciantes de tiendas,41
Entrada,Extranjero,2020,Enero,1,Hombre,Colombia,América del Sur,América,Vía terrestre,Residencia,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,53
Entrada,Extranjero,2020,Enero,1,Hombre,Perú,América del Sur,América,Vía terrestre,Residencia,Perú,América del Sur,América,Piura,Ecuador,América del Sur,América,Unidad de Control Migratorio Frontera Terrestre Lalamor,Loja,Zapotillo,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,42
Salida,Extranjero,2020,Enero,1,Mujer,Chile,América del Sur,América,Vía Aérea,Otros,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes RP-MAT,Personal de apoyo administrativo no clasificado bajo otros epigrafes,55
Entrada,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía Aérea,Turismo,Colombia,América del Sur,América,Cali,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Menores de edad,12
Entrada,Extranjero,2020,Enero,1,Hombre,Uruguay,América del Sur,América,Vía Aérea,Residencia,Uruguay,América del Sur,América,Montevideo,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,44
Entrada,Extranjero,2020,Enero,1,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Inmigrantes 10-VI,Amas de casa,57
Salida,Extranjero,2020,Enero,1,Mujer,Colombia,América del Sur,América,Vía Aérea,Turismo,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Jubilados y pensionistas,65
Entrada,Extranjero,2020,Enero,1,Mujer,China,Asia Oriental,Asia,Vía Aérea,Residencia,Colombia,América del Sur,América,Bogotá Dc,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Disenadores y decoradores de interior,29
Salida,Extranjero,2020,Enero,1,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,San Francisco California,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Inmigrantes 10-VI,Personal de apoyo administrativo no clasificado bajo otros epigrafes,38
