tip_movi;tip_naci;anio_movi;mes_movi;dia_movi;sex_migr;nac_migr;subcont_nac;cont_nac;via_tran;mot_viam;pais_prod;subcont_prod;cont_prod;lug_prod;pais_res;subcont_res;cont_res;jef_migr;pro_jefm;can_jefm;cla_migr;ocu_migr;edad
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía terrestre;Residencia;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;53
Salida;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía terrestre;Turismo;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;25
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía terrestre;Residencia;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;28
Salida;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía terrestre;Turismo;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;45
Salida;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía terrestre;Otros;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;29
Salida;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía terrestre;Turismo;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;35
Salida;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía terrestre;Turismo;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;53
Salida;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía terrestre;Turismo;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;41
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía terrestre;Residencia;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Capitanes, oficiales de cubierta y practicos;45
Entrada;Ecuatoriano;2021;Enero;1;Hombre;Ecuador;América del Sur;América;Vía terrestre;Residencia;Perú;América del Sur;América;Tumbes;Ecuador;América del Sur;América;Centro Binacional de Atención Fronteriza Huaquillas;El Oro;Huaquillas;Clase migratoria para ecuatorianos;Conductores de automoviles, taxis y camionetas;51
